// MATCH ()-[r]-() WITH DISTINCT TYPE(r) AS type, COUNT(r) AS num RETURN type, num ORDER BY type;
type,num
Condensed_into,1149662
Has_text,126958
Identified_by,924528
has_article,11804
has_author,69140
has_fig,84410
has_figure,65304
has_orcid,25536
has_panel,156128
has_subject,8580
has_tag,1340258
